Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT,_handle_seconds,_wait_seconds
Agendamento de Aniversário,112:50:42,22:48:17,51,51,4.1923076923076925,406242,82097
Cantina Perita,533:44:14,289:12:18,35,32,1.6,1921454,1041138
Coord. de Relacionamento 4º e 5º Ano,12:35:46,11:19:13,171,171,4.216666666666667,45346,40753
Coord. de Relacionamento 6º e 7º Ano,16:26:26,07:58:09,151,151,4.166666666666667,59186,28689
Coord. de Relacionamento 8º e 9º Ano,23:36:49,12:48:10,83,83,4.387755102040816,85009,46090
Coord. de Relacionamento Infantil,74:33:18,28:47:13,24,24,4.733333333333333,268398,103633
Coord. de Relacionamento Médio,148:42:07,44:28:49,113,112,4.0588235294117645,535327,160129
"Coordenação de Relacionamento 1º, 2º e 3º Ano",12:10:23,10:25:57,164,164,4.362962962962963,43823,37557
Coord. Esportes e Educação Física,63:48:28,14:42:25,189,189,4.319444444444445,229708,52945
Coord. Formação Bilíngue,31:10:23,16:38:04,10,10,3.857142857142857,112223,59884
Coord. PLA,31:36:00,17:38:10,107,107,4.283018867924528,113760,63490
Enfermaria,27:28:28,05:28:44,306,306,4.536363636363636,98908,19724
Financeiro,74:22:54,67:59:00,127,127,3.610169491525424,267774,244740
Loja de Farda,398:45:21,27:24:35,29,28,4.1,1435521,98675
NAE Fundamental A.F.,46:50:15,11:38:32,65,65,3.9767441860465116,168615,41912
NAE Fundamental A.I.,66:24:42,22:45:11,48,48,4.576923076923077,239082,81911
NAE Infantil,99:45:58,52:31:23,20,20,3.1818181818181817,359158,189083
NAE Médio,23:06:47,05:40:56,24,23,4.333333333333333,83207,20456
Ouvidoria,96:00:05,32:34:17,65,65,3.9,345605,117257
Professora Ana Luiza,127:13:27,56:40:29,3,3,4.333333333333333,458007,204029
Professora Andrea,690:06:40,584:15:16,30,30,4.5,2484400,2103316
Professora Jaciclene,666:10:03,666:09:52,1,1,,2398203,2398192
Professora Joelia,36:57:40,36:55:42,3,3,2.5,133060,132942
Professora Sanara,246:28:11,205:23:48,35,35,4.166666666666667,887291,739428
Professora Thailane,899:17:16,820:13:58,17,17,4.7,3237436,2952838
Professora Viviane,110:03:29,91:39:51,7,7,4.857142857142857,396209,329991
Secretaria,20:05:24,17:06:36,95,95,3.6307692307692307,72324,61596
Supervisão Disciplinar Fund. 2,22:19:07,21:55:53,17,17,4.083333333333333,80347,78953
Supervisão Disciplinar Infantil e Fundamental A.I.,21:46:14,21:20:21,19,19,4.2727272727272725,78374,76821
Supervisão Disciplinar Médio,48:32:08,45:00:42,24,24,3.8823529411764706,174728,162042
TI - Tecnologia da Informação,101:45:17,36:44:34,185,185,4.140350877192983,366317,132274
