Canal,Tempo médio de atendimento,Tempo médio de espera,Total de atendimentos,Total de atendimentos concluídos,Média CSAT
Achados e Perdidos,171:38:27,68:01:46,6,6,3
Agendamento de Aniversário,115:56:12,16:04:36,19,19,4.67
Cantina Perita,84:33:01,34:30:42,20,12,5
Coord. de Relacionamento 4º e 5º Ano,27:11:43,06:40:27,107,107,4.86
Coord. de Relacionamento 6º e 7º Ano,43:05:38,10:21:48,178,175,4.7
Coord. de Relacionamento 8º e 9º Ano,22:58:29,08:31:25,141,141,4.48
Coord. de Relacionamento Infantil,43:09:02,25:47:34,36,36,4.71
Coord. de Relacionamento Médio,92:56:31,67:31:48,83,83,4.8
"Coordenação de Relacionamento 1º, 2º e 3º Ano",44:24:33,13:50:32,136,134,4.47
Coord. Esportes e Educação Física,101:31:26,21:15:02,103,98,4.42
Coord. Formação Bilíngue,70:20:32,17:26:12,2,2,4
Coord. PLA,54:55:13,18:03:14,22,22,4.83
Enfermaria,28:23:55,00:35:10,252,252,4.67
Financeiro,97:10:12,56:39:58,78,73,4.13
Grupo 02 A,29:45:04,03:29:10,3,3,
Grupo 03 A,19:02:36,09:58:33,2,2,
Grupo 04 A,34:47:07,20:58:19,4,4,
Grupo 04 D,33:37:23,20:11:00,2,2,5
Grupo 05 A,47:54:22,11:48:31,2,2,
Grupo 05 D,55:31:33,50:40:14,6,6,
Loja de Farda,176:57:29,83:35:29,8,6,
NAE Fundamental A.F.,38:39:36,07:57:32,48,48,4.53
NAE Fundamental A.I.,57:38:06,27:08:17,31,30,4.46
NAE Infantil,88:23:50,32:24:24,6,6,5
NAE Médio,62:17:34,09:58:08,30,30,4.17
Ouvidoria,67:50:36,30:25:02,35,34,4.25
Secretaria,39:57:07,18:54:07,32,29,4
Supervisão Disciplinar Fund. 2,12:42:25,12:41:25,59,59,4.54
Supervisão Disciplinar Infantil e Fundamental A.I.,,,16,0,
Supervisão Disciplinar Médio,33:30:00,31:58:57,73,73,4.31
TI - Tecnologia da Informação,204:11:00,68:57:17,60,54,4.38
Turno Integral Anos Iniciais,42:28:30,28:27:11,9,9,5
Turno Integral Infantil,174:59:55,174:59:48,1,1,
